transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
mu-úh-te-ir.ku-un,nE,,muuhteirkuun,,,noun,"mu-h-ti-ir-ri, ú-li-ir.ku-un",,,"<qt><font color=""#690000"">mu</font>-<font color=""#00ff00"">úh</font>-te-ir.<font color=""#d50000"">ku</font>-<font color=""#b40000"">un</font></qt>",,
mu-uk-ti,nE,,muukti,,,noun,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ti</font></qt>",,
mu-uk-tu4,nE,master,muuktu,1,,noun,mu-uk-ti,,,"<qt><font color=""#690000"">mu</font>-<font color=""#9b0000"">uk</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font></qt>",,
hh.mu-uk-tu4.ú-ra,nE,master-1SG-3SG.AGR,muuktuura,,,noun,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">mu</font>-<font color=""#9b0000"">uk</font>-<font color=""#b40000"">tu<sub><small>4</small></sub></font>.<font color=""#9b0000"">ú</font>-<font color=""#690000"">ra</font></qt>",,
mu-ul-li,oE,,muulli,,,noun,,,,"<qt><font color=""#690000"">mu</font>-ul-li</qt>",,
2.mu-ur,nE,end,muur,1,,noun,mur,Sg.,1st,"<qt><font color=""#690000"">mu</font>-<font color=""#b40000"">ur</font></qt>",,
mu-ur-ta-an-ra,mE,establish-ACT.PTCP-3SG.AGR,muurtaanra,1,,noun,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#b40000"">ur</font>-ta-<font color=""#c30000"">an</font>-<font color=""#690000"">ra</font></qt>",,
2.mu-ur-ta-an,mE,throne,muurtaan,1,,noun,,,,"<qt><font color=""#690000"">mu</font>-<font color=""#b40000"">ur</font>-ta-<font color=""#c30000"">an</font></qt>",,
mu-ur-ti,mE,seat,muurti,,,noun,"uk-ku-[lu.me-en]-ra.mu-ur-ti, mur-ti",,,"<qt><font color=""#690000"">mu</font>-<font color=""#b40000"">ur</font>-<font color=""#690000"">ti</font></qt>",,
NA4.lg,mE,,nalg,,,noun,,,,"<qt>NA<sub><small>4</small></sub>.<font color=""#690000"">lg</font></qt>",,
d.na-ab-ba,achE,god-PL,naabba,1,,noun,d.na-ap-pi,Pl.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ab</font>-<font color=""#9b0000"">ba</font></qt>",,
d.na-ab-be-ra,achE,god-PL-3SG.AGR,naabbera,,,noun,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.na-<font color=""#9b0000"">ab</font>-<font color=""#de0000"">be</font>-<font color=""#690000"">ra</font></qt>",,
na-ak-qa-an-tum4.lg,mE,nakkantu,naakqaantumlg,,nakkantu,noun,,,,"<qt>na-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">tum<sub><small>4</small></sub></font>.<font color=""#690000"">lg</font></qt>",,
