transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
hh.LUGÀL.na-ma,achE,king-na-ma,lugalnama,,,adjective,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.na-<font color=""#b40000"">ma</font></qt>",,"-na, -ma"
v.LUGÀL.na,achE,king-na,lugalna,,,adjective,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">LUGÀL</font>.na</qt>",,
hh.LUGÀL.na-ma-mar,achE,king-na-ma-mar,lugalnamamar,,,adjective,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">LUGÀL</font>.na-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">mar</font></qt>",,"-na, -ma-mar"
lu-hal-pi-na,nE,,luhalpina,,,adjective,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#9b0000"">hal</font>-<font color=""#de0000"">pi</font>-na</qt>",,
lu-h-ha-an,"oE, mE, nE",bless?-ACT.PTCP?,luhhaan,1,,adjective,lu-ur-ra-ak.lu-h-ha-an,,,"<qt><font color=""#690000"">lu</font>-<font color=""#d50000"">h</font>-<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font></qt>",,
f.hw.lu-lu-be-na,nE,Lulube-GEN,lulubena,,,adjective,lu-lu,,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">hw</font>.<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#de0000"">be</font>-na</qt>",,
f.hw.lu-lu-be-nam-ma,nE,Lulube-GEN-LOC,lulubenamma,,,adjective,lu-lu,,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">hw</font>.<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#de0000"">be</font>-<font color=""#00ff00"">nam</font>-<font color=""#b40000"">ma</font></qt>",,
lu-lu-ki,achE,,luluki,,,adjective,lu-lu-qa,,,"<qt><font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#690000"">ki</font></qt>",,
f.hw.lu-lu-na,nE,Lulu-GEN,luluna,,,adjective,lu-lu,,,"<qt><font color=""#e10000"">f</font>.<font color=""#de0000"">hw</font>.<font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-na</qt>",,
lu-lu-qa,achE,,luluqa,,,adjective,lu-lu-ki,,,"<qt><font color=""#690000"">lu</font>-<font color=""#690000"">lu</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
lu-ri-qa,achE,lur,luriqa,1,,adjective,lu-ru-qa,,,"<qt><font color=""#690000"">lu</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
lu-ri-ik-qa,achE,lur-PASS.PTCP,luriikqa,,,adjective,lu-ri-qa,,,"<qt><font color=""#690000"">lu</font>-<font color=""#9b0000"">ri</font>-<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
lu-rák?-qa,achE,lur-PASS.PTCP+,lurakqa,,,adjective,lu-ri-qa,,,"<qt><font color=""#690000"">lu</font>-<font color=""#690000"">rák</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
lu-ru,nE,lur-?,luru,,,adjective,,,,"<qt><font color=""#690000"">lu</font>-<font color=""#b40000"">ru</font></qt>",,
ma-a-kur-ti-ya,achE,xvaigrδya,maakurtiya,,xvaigrδya,adjective,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">kur</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>",,
ma-a-kur-ti-ya-nu-iš,achE,xvaigrδyāna-š,maakurtiyanuis~,,xvaigrδyāna,adjective,ma-a-kur-ti-ya,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#690000"">a</font>-<font color=""#cd0000"">kur</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font>-nu-iš</qt>",,
ma-al-ši-in-ni,mE,alabaster-na,maals~iinni,,,adjective,wa-al-ša,,,"<qt><font color=""#b40000"">ma</font>-al-<font color=""#c30000"">ši</font>-in-<font color=""#c30000"">ni</font></qt>",,
ma-al-ši-ya,nE,alabaster-ya,maals~iya,,,adjective,ma-al-ši-in-ni,,,"<qt><font color=""#b40000"">ma</font>-al-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>",,
ma-da-ak,achE,mādaka,madaak,,mādaka,adjective,"ma-da-ak-qa, ma-da-qa",,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ak</font></qt>",,
ma-da-ak-qa,achE,mādaka,madaakqa,,mādaka,adjective,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
ma-da-qa,achE,mādaka,madaqa,,mādaka,adjective,"ma-da-ak, ma-da-ak-qa",,,"<qt><font color=""#b40000"">ma</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
ma-hu-iš,achE,vahuš,mahuis~,,vahuš,adjective,,,,"<qt><font color=""#b40000"">ma</font>-<font color=""#d50000"">hu</font>-iš</qt>",,
ma-lak,nE,mal-k,malak,,,adjective,"v.ma-ul-la, hh.ma-ul-li",,,"<qt><font color=""#b40000"">ma</font>-<font color=""#b40000"">lak</font></qt>",,-k
GIŠ.ma-lu.za-el-na,nE,,maluzaelna,,,adjective,,,,"<qt><font color=""#b40000"">GIŠ</font>.<font color=""#b40000"">ma</font>-<font color=""#690000"">lu</font>.<font color=""#690000"">za</font>-<font color=""#9b0000"">el</font>-na</qt>",,-na
man-da-qa,nE,mant-k,mandaqa,,,adjective,man-tak,,,"<qt><font color=""#690000"">man</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
man-ha-at-na,nE,iron-GEN,manhaatna,1,,adjective,,,,"<qt><font color=""#690000"">man</font>-<font color=""#690000"">ha</font>-<font color=""#690000"">at</font>-na</qt>",,
man-nu-hi-iš,achE,,mannuhiis~,,,adjective,,,,"<qt><font color=""#690000"">man</font>-nu-<font color=""#c30000"">hi</font>-iš</qt>",,
man-ir-kut-tin-na,achE,,manirkuttinna,,,adjective,"kut-tin-na, man-ir-tan-na, man-ni-ki-tin-na",,,"<qt><font color=""#690000"">man</font>-ir-<font color=""#c30000"">kut</font>-<font color=""#9b0000"">tin</font>-na</qt>",,
