transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
táh-ha-at,mE,bring-here-IMP,dahhaat,1,,verb,táh,,,"<qt><font color=""#cd0000"">táh</font>-<font color=""#690000"">ha</font>-<font color=""#690000"">at</font></qt>",,
táh-ha-áš-pi,mE,help-3SG-PL,dahhaas~pi,1,,verb,,Sg.,1st,"<qt><font color=""#cd0000"">táh</font>-<font color=""#690000"">ha</font>-<font color=""#9b0000"">áš</font>-<font color=""#de0000"">pi</font></qt>",,
táh-ha-na,nE,help-n??,dahhana,3,,verb,táh-ha-áš-pi,,,"<qt><font color=""#cd0000"">táh</font>-<font color=""#690000"">ha</font>-na</qt>",,
[tah]-h-áš,oE,help-3PL,dahhas~,1,,verb,táh-ha-áš-pi,,,"<qt>tah-<font color=""#d50000"">h</font>-<font color=""#9b0000"">áš</font></qt>",,
táh-[haš-da],mE,bring-here-3SG-da,dahhas~da,1,,verb,táh,,,"<qt><font color=""#cd0000"">táh</font>-<font color=""#c30000"">haš</font>-<font color=""#9b0000"">da</font></qt>",,
ta-h-iš-da,nE,,dahis~da,,,verb,2.da-h,,,"<qt>ta-<font color=""#d50000"">h</font>-iš-<font color=""#9b0000"">da</font></qt>",,
da-h-iš-ni,nE,bring-3PL-OPT,dahis~ni,1,,verb,táh,,,"<qt><font color=""#9b0000"">da</font>-<font color=""#d50000"">h</font>-iš-<font color=""#c30000"">ni</font></qt>",,
ta-h-ni,mE,bring-1SG-OPT,dahni,2,,verb,táh,,,"<qt>ta-<font color=""#d50000"">h</font>-<font color=""#c30000"">ni</font></qt>",,
da-h-ši,"oE, nE",bring-3PL,dahs~i,,,verb,táh,,,"<qt><font color=""#9b0000"">da</font>-<font color=""#d50000"">h</font>-<font color=""#c30000"">ši</font></qt>",,
ta-iš,nE,bring-3SG,dais~,1,,verb,da-iš,Sg.,3rd Anim.,<qt>ta-iš</qt>,,
da-iš,achE,bring-3SG,dais~,10,,verb,"táh, ti-ib-be.da-iš",Sg.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš</qt>",,
2.da-iš,achE,bring-IMP,dais~,2,,verb,taš,,,"<qt><font color=""#9b0000"">da</font>-iš</qt>",,
3.da-iš,achE,taš-3PL,dais~,1,,verb,taš,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš</qt>",,
4.da-iš,achE,bring-3PL,dais~,1,,verb,,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš</qt>",,
2.ta-iš,nE,bring-3PL,dais~,18,,verb,da-iš,Pl.,3rd Anim.,<qt>ta-iš</qt>,,
ta-iš-da,nE,bring-3PL-da,dais~da,3,,verb,ta-iš,,3rd Anim.,"<qt>ta-iš-<font color=""#9b0000"">da</font></qt>",,-da
da-iš-da,achE,bring-3SG-da,dais~da,1,,verb,"da-iš, da-áš-da, ti-ib-be.da-iš-da",Sg.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
da-iš-ni,achE,bring-3PL-OPT,dais~ni,1,,verb,taš-ni,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš-<font color=""#c30000"">ni</font></qt>",,-ni
ta-iš-ni,nE,bring-3PL-OPT,dais~ni,5,,verb,,Pl.,3rd Anim.,"<qt>ta-iš-<font color=""#c30000"">ni</font></qt>",,-ni
da-iš-ti,achE,bring-3SG-da,dais~ti,1,,verb,"ti-ib-be.da-iš-ti, da-iš",,,"<qt><font color=""#9b0000"">da</font>-iš-<font color=""#690000"">ti</font></qt>",,
2.da-iš-da,achE,bring-3PL-da,dais~da,2,,verb,"da-iš, da-áš-da, ti-ib-be.da-iš-da",Pl.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
3.da-iš-da,achE,bring-3SG-da,dais~da,1,,verb,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">da</font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
tak-ni,nE,bring-PASS-PTCP-OPT,dakni,3,,verb,da-ak-ni,,,"<qt><font color=""#c30000"">tak</font>-<font color=""#c30000"">ni</font></qt>",,
lak-ki-ik,"nE, achE",lak-k,lakkiik,,,verb,,,,"<qt><font color=""#b40000"">lak</font>-<font color=""#690000"">ki</font>-<font color=""#c30000"">ik</font></qt>",,-k
lak-ki-ik-ni,achE,lak-PASS.PTCP-OPT,lakkiikni,1,,verb,,,,"<qt><font color=""#b40000"">lak</font>-<font color=""#690000"">ki</font>-<font color=""#c30000"">ik</font>-<font color=""#c30000"">ni</font></qt>",,-ni
lak-ki-qa,nE,lak-ka,lakkiqa,,,verb,,,,"<qt><font color=""#b40000"">lak</font>-<font color=""#690000"">ki</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-k
la-kaš-da,achE,lak-3SG-da,lakas~da,,,verb,,Sg.,3rd Anim.,"<qt>la-<font color=""#de0000"">kaš</font>-<font color=""#9b0000"">da</font></qt>",,-da
la-ki,oE,lan-1SG,laki,,,verb,la-an-ki,Sg.,1st,"<qt>la-<font color=""#690000"">ki</font></qt>",,
2.la-ki,achE,la-k,laki,,,verb,,,,"<qt>la-<font color=""#690000"">ki</font></qt>",,-k
3.la-ki,achE,la-k,laki,,,verb,,,,"<qt>la-<font color=""#690000"">ki</font></qt>",,-k
la-ki-iš-da,achE,lak-3SG-da,lakiis~da,,,verb,,Sg.,3rd Anim.,"<qt>la-<font color=""#690000"">ki</font>-iš-<font color=""#9b0000"">da</font></qt>",,-da
2.la-ki-iš-da,achE,lak-3PL-da,lakiis~da,,,verb,,Pl.,3rd Anim.,"<qt>la-<font color=""#690000"">ki</font>-iš-<font color=""#9b0000"">da</font></qt>",,
tal-iš-[d]a,achE,write-3SG-da,dalis~da,1,,verb,tal-li-iš-da,,,"<qt><font color=""#9b0000"">tal</font>-iš-<font color=""#9b0000"">da</font></qt>",,
tal-lak,"nE, achE",write-PASS.PTCP,dallak,2,,verb,"hw.tal-lak.ki-tin, hw.tal-lak.ku-tur",,,"<qt><font color=""#9b0000"">tal</font>-<font color=""#b40000"">lak</font></qt>",,
tal-li-ha,nE,write-1SG-da,dalliha,1,,verb,ta-li-me,,,"<qt><font color=""#9b0000"">tal</font>-li-<font color=""#690000"">ha</font></qt>",,
tal-li-iš,"nE, achE",write-3SG,dalliis~,18,,verb,tal-iš,,,"<qt><font color=""#9b0000"">tal</font>-li-iš</qt>",,
tal-iš,achE,write-3SG,dalis~,1,,verb,tal-li-iš,,,"<qt><font color=""#9b0000"">tal</font>-iš</qt>",,
ib-ba-an,nE,ip,ibbaan,,,verb,,,,"<qt><font color=""#690000"">ib</font>-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">an</font></qt>",,
2.tal-li-iš,achE,write-IMP,dalliis~,1,,verb,tal-li-iš,,,"<qt><font color=""#9b0000"">tal</font>-li-iš</qt>",,
tal-li-iš-da,achE,write-3SG-da,dalliis~da,23,,verb,tal-iš-[d]a,,,"<qt><font color=""#9b0000"">tal</font>-li-iš-<font color=""#9b0000"">da</font></qt>",,
tal-li-iš-da-na,achE,write-3PL-da-na,dalliis~dana,1,,verb,tal-li-iš,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">tal</font>-li-iš-<font color=""#9b0000"">da</font>-na</qt>",,"-da, -na"
tal?-lik?,nE,write-PASS.PTCP,dallik,1,,verb,tal-li-ik,,,"<qt><font color=""#9b0000"">tal</font>-<font color=""#b40000"">lik</font></qt>",,
tal-li-šá,"nE, achE",write-3SG-ša,dallis~a,4,,verb,tal-li-iš,,,"<qt><font color=""#9b0000"">tal</font>-li-<font color=""#c30000"">šá</font></qt>",,
tal-li-qa,achE,write-PASS.PTCP+,dalliqa,1,,verb,tal-li-ik,,,,,
ta-nu-hu-na,mE,obey-1PL,danuhuna,1,,verb,tan,,,"<qt>ta-nu-<font color=""#d50000"">hu</font>-na</qt>",,
da-ni-en,mE,obey-3PL??-OPT,danien,1,,verb,,,,"<qt><font color=""#9b0000"">da</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">en</font></qt>",,
id-du-iš,achE,give2-3PL,idduis~,,,verb,,Pl.,3rd Anim.,"<qt><font color=""#690000"">id</font>-<font color=""#9b0000"">du</font>-iš</qt>",,
2.id-du-iš,achE,give2-IMP,idduis~,,,verb,,,,"<qt><font color=""#690000"">id</font>-<font color=""#9b0000"">du</font>-iš</qt>",,
id-du-na-áš,mE,3SG.ACC-give-3SG,iddunaas~,,,verb,in+du-na-áš,Sg.,3rd Anim.,"<qt><font color=""#690000"">id</font>-<font color=""#9b0000"">du</font>-na-<font color=""#9b0000"">áš</font></qt>",,
id-du-ni-h,mE,3SG.ACC-give-1SG,iddunih,1,,verb,in+du-ni-h,Sg.,1st,"<qt><font color=""#690000"">id</font>-<font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#d50000"">h</font></qt>",,
id-du-nu-ik,achE,3SG.ACC-give-PASS.PTCP,iddunuik,,,verb,in+du-un-ik,,,"<qt><font color=""#690000"">id</font>-<font color=""#9b0000"">du</font>-nu-<font color=""#c30000"">ik</font></qt>",,
id-du-nu-iš,achE,3SG.ACC-give-3SG,iddunuis~,,,verb,in+du-nu-iš,,,"<qt><font color=""#690000"">id</font>-<font color=""#9b0000"">du</font>-nu-iš</qt>",,
