transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
a-da-ri,"oE, mE",Addaru,adari,1,addaru,other,,Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ri</font></qt>",month,
d.ad-da-ir,,Addaru,addair,1,addaru,other,d.ha-da-ir,Sg.,1st,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font>-ir</qt>",,
ha-du-ma,achE,,haduma,,,other,ha-tu-ma,,,"<qt><font color=""#690000"">ha</font>-<font color=""#9b0000"">du</font>-<font color=""#b40000"">ma</font></qt>",,
ha-dam-ma,achE,,hadamma,,,other,"ha-tu-ma, ha-tam5-ma",,,"<qt><font color=""#690000"">ha</font>-<font color=""#00ff00"">dam</font>-<font color=""#b40000"">ma</font></qt>",,
AD?-ra-ti-ip,oE,,adratiip,1,,other,,Sg.,3rd Anim.,"<qt><font color=""#00ff00"">AD</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ip</font></qt>",month,
a-ga-ra,oE,anyone,agara,1,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">ga</font>-<font color=""#690000"">ra</font></qt>",,
ag-ga,mE,which,agga,5,,other,"ak-ka, ak-qa",,,"<qt><font color=""#690000"">ag</font>-<font color=""#9b0000"">ga</font></qt>",,
a-gi,"oE, mE",and-?,agi,20,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">gi</font></qt>",,
a-h,nE,here,ah,25,,other,a-ha,,,"<qt><font color=""#690000"">a</font>-<font color=""#d50000"">h</font></qt>",,
a-ha,mE,here,aha,26,,other,"a-h, a-ha-a, ik-qa-ha, a-hír, a-ha-an, a-ha-ar, a-hi-ir, a-ha-at, a-hi, -ik-qa-ha",,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font></qt>",,
a-ha-a,mE,here,ahaa,4,,other,a-ha,Pl.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>-<font color=""#690000"">a</font></qt>",,
a-ha-an,mE,here-n,ahaan,23,,other,,Pl.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>-<font color=""#c30000"">an</font></qt>",,
a-ha-ar,mE,here-3SG.AGR,ahaar,12,,other,a-har,Pl.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>-ar</qt>",,
a-ha-at,mE,here-2SG.AGR,ahaat,2,,other,,Pl.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>-<font color=""#690000"">at</font></qt>",,
[a-ha]-ir,nE,aha-3SG.AGR,ahair,1,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>-ir</qt>",,
a-ha.ni-en,mE,here-be-3SG,ahanien,1,,other,,Pl.,3rd Anim.,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ha</font>.<font color=""#c30000"">ni</font>-<font color=""#690000"">en</font></qt>",,
a-ha-be,mE,here-3PL.AGR,ahabe,2,,other,,Pl.,3rd Anim.,,,
a-h-da-a,nE,capital,ahdaa,3,,other,"a-h-te, a-h-ti, sir99.a-h-ti",Sg.,1st,"<qt><font color=""#690000"">a</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">da</font>-<font color=""#690000"">a</font></qt>",,
a-hi,nE,here.this,ahi,1,,other,a-ha+i,,,"<qt><font color=""#690000"">a</font>-<font color=""#c30000"">hi</font></qt>",,
a-i-di,oE,,aidi,1,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#9b0000"">i</font>-di</qt>",,
a-ki,mE,,aki,,,other,a-gi,,,"<qt><font color=""#690000"">a</font>-<font color=""#690000"">ki</font></qt>",,
ak-ka,mE,which,akka,5,,other,"ak-qa, ag-ga",,,"<qt><font color=""#690000"">ak</font>-ka</qt>",,
a-ka-da,oE,always?,akada,1,,other,,,,"<qt><font color=""#690000"">a</font>-ka-<font color=""#9b0000"">da</font></qt>",,
h.ak-kur-ba-na-be,achE,,akkurbanabe,,,other,,Pl.,3rd Anim.,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ak</font>-<font color=""#cd0000"">kur</font>-<font color=""#9b0000"">ba</font>-na-<font color=""#de0000"">be</font></qt>",,
ak-ku-ri,,,akkuri,,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">ri</font></qt>",,
ak-qa-ra,"mE, nE",none,akqara,5,,other,ak-qa-ri,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">ra</font></qt>",,
ak-qa-ri,achE,none,akqari,2,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#9b0000"">ri</font></qt>",,
ak-qa-ya,achE,which,akqaya,1,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#00ff00"">qa</font>-<font color=""#690000"">ya</font></qt>",,
v.ak-qa-ri,achE,none,akqari,1,,other,,,,,,
ak-sir.d.in-šu-[uš],mE,aksi-SG-inšušinak,aksirins~uus~,1,,other,"v.ak-sir.d.in-su-uš-[na-ak], ak-še-i[r].GAM.in-šu-uš",,,"<qt><font color=""#690000"">ak</font>-<font color=""#690000"">sir</font>.<font color=""#c30000"">d</font>.in-<font color=""#9b0000"">šu</font>-uš</qt>",,
ak-ti-im-ma,nE,glazed.brick-LOC,aktiimma,1,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>",,
ak-ti-in-ni,mE,glazed.brick-ni2,aktiinni,6,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>-in-<font color=""#c30000"">ni</font></qt>",,
ak-ti-ia-ma,nE,glazed.brick-LOC,aktiiama,1,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ia</font>-<font color=""#b40000"">ma</font></qt>",,
h.ak-ti-ut-taš,achE,,aktiuttas~,1,,other,,Sg.,1st,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>-<font color=""#d50000"">ut</font>-<font color=""#b40000"">taš</font></qt>",,
ak-ti-ya,mE,glazed.brick-ya,aktiya,3,,other,,,,"<qt><font color=""#690000"">ak</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>",,
a-ku-me-ma,nE,«akume»-LOC,akumema,1,,other,,,,"<qt><font color=""#690000"">a</font>-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">me</font>-<font color=""#b40000"">ma</font></qt>",,
a-ku-ra,oE,,akura,1,,other,a-ku-na,,,"<qt><font color=""#690000"">a</font>-<font color=""#d50000"">ku</font>-<font color=""#690000"">ra</font></qt>",,
a-la-li-ma,oE,,alalima,1,,other,,Sg.,1st,"<qt><font color=""#690000"">a</font>-la-li-<font color=""#b40000"">ma</font></qt>",,
a-li-me-li-ri,mE,acropolis-3SG.AGR,alimeliri,4,ālim-elîm,other,a-li-im-e-li-ri,,,"<qt><font color=""#690000"">a</font>-li-<font color=""#9b0000"">me</font>-li-<font color=""#9b0000"">ri</font></qt>",,
a-li-me-lu-ur-ra,,acropolis-1SG-3SG.AGR,alimeluurra,1,ālim-elîm,other,,,,"<qt><font color=""#690000"">a</font>-li-<font color=""#9b0000"">me</font>-<font color=""#690000"">lu</font>-<font color=""#b40000"">ur</font>-<font color=""#690000"">ra</font></qt>",,
