transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
URU.sa-ar.hu-di-ri,nA,,saarhudiri,,,GN,URU.sa-ar.hu-di-e-ri,,,"<qt><font color=""#690000"">URU</font>.<font color=""#690000"">sa</font>-ar.<font color=""#d50000"">hu</font>-di-<font color=""#9b0000"">ri</font></qt>",city,
sa-bu-um.KI,oE,,sabuumki,,,GN,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#9b0000"">bu</font>-<font color=""#690000"">um</font>.<font color=""#690000"">KI</font></qt>",location,
sa-dar-ri.KI,oE,,sadarriki,,,GN,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#00ff00"">dar</font>-<font color=""#9b0000"">ri</font>.<font color=""#690000"">KI</font></qt>",location,
h.sa-e-ul-li-ra,nE,,saeullira,,,GN,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">e</font>-ul-li-<font color=""#690000"">ra</font></qt>",location,
h.sa-da-ku,achE,Sattagydia,sadaku,,ϑataguš,GN,v.sa-ad-da-ku-iš,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ku</font></qt>",location,
sa-h[i?]-in?-hi.KI,oE,,sahiinhiki,,,GN,sah?-in.KI,,,"<qt><font color=""#690000"">sa</font>-<font color=""#c30000"">hi</font>-in-<font color=""#c30000"">hi</font>.<font color=""#690000"">KI</font></qt>",location,
sah?-in.KI,oE,,sahinki,,,GN,sa-h[i?]-in?-hi.KI,,,"<qt><font color=""#cd0000"">sah</font>-in.<font color=""#690000"">KI</font></qt>",location,
h.sa-nu-da-iz-zí,achE,,sanudaizzi,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-nu-<font color=""#9b0000"">da</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">zí</font></qt>",location,
h.sa-ra-mi-na,achE,,saramina,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">ra</font>-mi-na</qt>",location,
v.sa-ud-da-ku-iš,achE,Sattagydia,sauddakuis~,,ϑataguš,GN,v.sa-ad-da-ku-iš,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">sa</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ku</font>-iš</qt>",location,
v.si-ik-ra-[…],oE,,siikra,,,GN,,,,"<qt><font color=""#690000"">v</font>.<font color=""#690000"">si</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">…</font></qt>",location,
si-ik-rí-iš.KI,oE,,siikriis~ki,,,GN,,,,"<qt><font color=""#690000"">si</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">rí</font>-iš.<font color=""#690000"">KI</font></qt>",location,
h.si-ip-pír,mE,Sippar,siippir,,Sippar,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">si</font>-<font color=""#690000"">ip</font>-<font color=""#e10000"">pír</font></qt>",location,
si-ir.ha-hu?-ir.KI,,,siirhahuirki,,,GN,hu-hu-um.si-ir-ha-hu?.KI,,,"<qt><font color=""#690000"">si</font>-ir.<font color=""#690000"">ha</font>-<font color=""#d50000"">hu</font>-ir.<font color=""#690000"">KI</font></qt>",location,
si-ma-áš-gi.KI,oE,,simaas~giki,,,GN,"si-ma-aš-ki, si-maš-gi.KI, si-maš-ki",,,"<qt><font color=""#690000"">si</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">áš</font>-<font color=""#9b0000"">gi</font>.<font color=""#690000"">KI</font></qt>",location,
si-ma-aš-ki,oE,,simaas~ki,,,GN,,,,"<qt><font color=""#690000"">si</font>-<font color=""#b40000"">ma</font>-<font color=""#c30000"">aš</font>-<font color=""#690000"">ki</font></qt>",location,
si-mal-li,oE,,simalli,,,GN,,,,"<qt><font color=""#690000"">si</font>-<font color=""#9b0000"">mal</font>-li</qt>",location,
