transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
v.šá-di-ri-e-du,nB,,s~adiriedu,,,PN,"te-im-ti.ri-di, a-ta-'-re-du",,,"<qt><font color=""#690000"">v</font>.<font color=""#c30000"">šá</font>-di-<font color=""#9b0000"">ri</font>-<font color=""#690000"">e</font>-<font color=""#9b0000"">du</font></qt>",man,
šá-du-nu-nu,nE,,s~adununu,,,PN,,,,"<qt><font color=""#c30000"">šá</font>-<font color=""#9b0000"">du</font>-nu-nu</qt>",man,
šà-du-ú-pi-i,oE,,s~aduupii,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">ú</font>-<font color=""#de0000"">pi</font>-<font color=""#9b0000"">i</font></qt>",man,
šag-di-di,nB,,s~agdidi,,,PN,hh.sa-ak-ti-ti,,,"<qt><font color=""#00ff00"">šag</font>-di-di</qt>",man,
hh.šá-gi-ma,achE,sakaiva,s~agima,,sakaiva,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">gi</font>-<font color=""#b40000"">ma</font></qt>",man,
šà-ha-mar-si-i,oE,,s~ahamarsii,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#690000"">ha</font>-<font color=""#9b0000"">mar</font>-<font color=""#690000"">si</font>-<font color=""#9b0000"">i</font></qt>",man,
šà-hi,oE,,s~ahi,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#c30000"">hi</font></qt>",man,
šà-h-ru-ru,oE,,s~ahruru,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#d50000"">h</font>-<font color=""#b40000"">ru</font>-<font color=""#b40000"">ru</font></qt>",man,-RED
šà-h-ru-uk-ra,oE,,s~ahruukra,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#d50000"">h</font>-<font color=""#b40000"">ru</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ra</font></qt>",man,
hh.šá-ir?-ba,achE,,s~airba,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-ir-<font color=""#9b0000"">ba</font></qt>",man,
hh.šá-ir-ba-la-ad-da,achE,,s~airbalaadda,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-ir-<font color=""#9b0000"">ba</font>-la-<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.ša-ir?-ku-da-da,achE,šarguδāta,s~airkudada,,šarguδāta,PN,,,,"<qt><font color=""#9b0000"">hh</font>.ša-ir-<font color=""#d50000"">ku</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.šá-ir-ku-nu-ya,achE,šargunaya,s~airkunuya,,šargunaya,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-ir-<font color=""#d50000"">ku</font>-nu-<font color=""#9b0000"">ya</font></qt>",man,
hh.šá-ir-ku-zí-iš,achE,šargučya-š,s~airkuziis~,,šargučya,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-ir-<font color=""#d50000"">ku</font>-<font color=""#690000"">zí</font>-iš</qt>",man,
hh.šá-ir-na-mi-ya,achE,zarnamiya,s~airnamiya,,zarnamiya,PN,hh.za-ir-na-mi-ya,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-ir-na-mi-<font color=""#9b0000"">ya</font></qt>",man,
hh.šá-ir-nu-ya,achE,zarniya,s~airnuya,,zarniya,PN,hh.za-ir-nu-ya,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-ir-nu-<font color=""#9b0000"">ya</font></qt>",man,
f.šá-ir-te-[te?],achE,,s~airtete,,,PN,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#c30000"">šá</font>-ir-te-te</qt>",woman,
hh.šá-iš-šá-ak-qa,achE,xšaçaka,s~ais~s~aakqa,,xšaçaka,PN,hh.šá-ak-šá-qa,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-iš-<font color=""#c30000"">šá</font>-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",man,
hh.šá-iš-šá-ir-da-ad-da,achE,sāstrδāta,s~ais~s~airdaadda,,sāstrδāta,PN,"hh.šá-iš-tur-da-ud-da, hh.za-iš-tur-za-ud-da",,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-iš-<font color=""#c30000"">šá</font>-ir-<font color=""#9b0000"">da</font>-<font color=""#690000"">ad</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.šá-iš-šu-uk-ba,achE,xšaçaupa,s~ais~s~uukba,,xšaçaupa,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-iš-<font color=""#9b0000"">šu</font>-<font color=""#9b0000"">uk</font>-<font color=""#9b0000"">ba</font></qt>",man,
hh.šá-iš-tur-da-ud-da,achE,sāstrδāta,s~ais~turdaudda,,sāstrδāta,PN,hh.šá-iš-šá-ir-da-ad-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-iš-<font color=""#b40000"">tur</font>-<font color=""#9b0000"">da</font>-<font color=""#d50000"">ud</font>-<font color=""#9b0000"">da</font></qt>",man,
f.šá-iz-zí-iš,achE,sačī-š,s~aizziis~,,sačī,PN,,,,"<qt><font color=""#e10000"">f</font>.<font color=""#c30000"">šá</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">zí</font>-iš</qt>",woman,
hh.šá-kaš-ba-ak-na,achE,,s~akas~baakna,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#de0000"">kaš</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ak</font>-na</qt>",man,
hh.šá-ki-iš,achE,saki-š,s~akiis~,,saki,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">ki</font>-iš</qt>",man,
hh.šá-ki-iz-za,achE,sakaiča,s~akiizza,1,sakaiča,PN,hh.šá-ak-ki-iz-za,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">ki</font>-<font color=""#b40000"">iz</font>-<font color=""#690000"">za</font></qt>",man,
šà-ki-te-ri,oE,,s~akiteri,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#690000"">ki</font>-te-<font color=""#9b0000"">ri</font></qt>",man,
šak-ti-ti,nB,,s~aktiti,,,PN,hh.sa-ak-ti-ti,,,"<qt><font color=""#00ff00"">šak</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ti</font></qt>",man,
hh.šá-kur?-ra?,achE,saxra,s~akurra,,saxra,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#cd0000"">kur</font>-<font color=""#690000"">ra</font></qt>",man,
hh.šá-la-ma-an-na,achE,šalamān,s~alamaanna,,šalamān,PN,hh.šá-la-ma-na,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-la-<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font>-na</qt>",man,
